DATE,TIME,PARTICULATE_(terukur),PARTICULATE_(terkoreksi),SO2_(terukur),SO2_(terkoreksi),NOX_(terukur),NOX_(terkoreksi),CO_(terukur),CO_(terkoreksi),O2_(terukur),O2_(terkoreksi),FLOWRATE_(terukur),FLOWRATE_(terkoreksi),DATETIME
2025-01-01,0:00:00,37.23,37.23,39.73,39.73,230.98,230.98,902.59,902.59,10.37,10.37,4.01,102.32,2025-01-01 0:00:00
2025-01-01,1:00:00,52.16,52.16,39.78,39.78,243.33,243.33,845.95,845.95,10.27,10.27,4.02,102.45,2025-01-01 1:00:00
2025-01-01,2:00:00,55.75,55.75,39.41,39.41,241.54,241.54,907.23,907.23,10.04,10.04,4.01,102.15,2025-01-01 2:00:00
2025-01-01,3:00:00,48.02,48.02,39.48,39.48,243.58,243.58,890.57,890.57,10.21,10.21,3.99,101.63,2025-01-01 3:00:00
2025-01-01,4:00:00,61.32,61.32,39.58,39.58,243.79,243.79,916.19,916.19,10.19,10.19,5.16,131.53,2025-01-01 4:00:00
2025-01-01,5:00:00,60.02,60.02,39.55,39.55,246.67,246.67,904.03,904.03,10.09,10.09,4,101.96,2025-01-01 5:00:00
2025-01-01,6:00:00,63.7,63.7,39.63,39.63,244.3,244.3,908.9,908.9,10.27,10.27,6.42,163.6,2025-01-01 6:00:00
2025-01-01,7:00:00,54.39,54.39,39.98,39.98,239.53,239.53,887.14,887.14,10.54,10.54,9,229.38,2025-01-01 7:00:00
2025-01-01,8:00:00,38.86,38.86,40.03,40.03,223.18,223.18,928.45,928.45,10.47,10.47,10.49,267.47,2025-01-01 8:00:00
2025-01-01,9:00:00,27.7,27.7,40.44,40.44,213.56,213.56,1019.1,1019.1,10.7,10.7,10.05,256.24,2025-01-01 9:00:00
2025-01-01,10:00:00,25.45,25.45,40.26,40.26,193.28,193.28,1009.08,1009.08,10.58,10.58,7.92,202,2025-01-01 10:00:00
2025-01-01,11:00:00,33.24,33.24,38.84,38.84,182.35,182.35,1191.69,1191.69,10,10,5.47,139.54,2025-01-01 11:00:00
2025-01-01,12:00:00,50.18,50.18,38.91,38.91,177.38,177.38,1202.11,1202.11,10,10,5.61,143.06,2025-01-01 12:00:00
2025-01-01,13:00:00,46.93,46.93,39.22,39.22,195.59,195.59,995.02,995.02,10,10,4.01,102.17,2025-01-01 13:00:00
2025-01-01,14:00:00,50.74,50.74,39.13,39.13,185.85,185.85,1000.32,1000.32,10,10,3.96,101.04,2025-01-01 14:00:00
